user_id,contest_id,origin,created_at,problem_appeared_at,response_submitted_at,score,qscore,labeling_state,chosen_answer,correct_answer,qualified,accuracy
37917,1007,ISIC_0046302.jpg,2020-05-26,2020-05-26 14:10:11.437000+00:00,2020-05-26 14:10:19.125999+00:00,100,70,gold_standard,{'no'},{'no'},True,0.7
37917,1007,ISIC_0046338.jpg,2020-05-26,2020-05-26 14:10:20.436000+00:00,2020-05-26 14:10:22.971999+00:00,100,73,gold_standard,{'yes'},{'yes'},True,0.73
37917,1007,ISIC_0046848.jpg,2020-05-26,2020-05-26 14:10:59.977000+00:00,2020-05-26 14:11:03.157000+00:00,100,75,gold_standard,{'yes'},{'yes'},True,0.75
37917,1007,ISIC_0046985.jpg,2020-05-26,2020-05-26 14:11:22.250999+00:00,2020-05-26 14:11:29.639000+00:00,100,77,gold_standard,{'no'},{'no'},True,0.77
21682,1007,ISIC_0046397.jpg,2020-05-26,2020-05-26 14:13:22.506000+00:00,2020-05-26 14:13:28.769000+00:00,100,100,gold_standard,{'no'},{'no'},True,1.0
21682,1007,ISIC_0046848.jpg,2020-05-26,2020-05-26 14:13:29.959000+00:00,2020-05-26 14:13:33.083000+00:00,100,100,gold_standard,{'yes'},{'yes'},True,1.0
20365,1007,ISIC_0046394.jpg,2020-05-26,2020-05-26 14:17:21.188000+00:00,2020-05-26 14:17:23.214000+00:00,0,70,gold_standard,{'no'},{'yes'},True,0.7
20365,1007,ISIC_0046729.jpg,2020-05-26,2020-05-26 14:17:25.517000+00:00,2020-05-26 14:17:28.506000+00:00,0,64,gold_standard,{'no'},{'yes'},True,0.64
20365,1007,ISIC_0046918.jpg,2020-05-26,2020-05-26 14:17:32.469000+00:00,2020-05-26 14:17:33.509000+00:00,100,67,gold_standard,{'yes'},{'yes'},True,0.67
20365,1007,ISIC_0016125.jpg,2020-05-26,2020-05-26 14:17:47.740000+00:00,2020-05-26 14:17:49.655000+00:00,100,69,gold_standard,{'yes'},{'yes'},True,0.69
20365,1007,ISIC_0046661.jpg,2020-05-26,2020-05-26 14:17:50.428000+00:00,2020-05-26 14:17:51.930000+00:00,100,71,gold_standard,{'no'},{'no'},True,0.71
20365,1007,ISIC_0016128.jpg,2020-05-26,2020-05-26 14:17:55.752000+00:00,2020-05-26 14:17:57.211000+00:00,100,71,active,{'no'},,True,0.71
20365,1007,ISIC_0046410.jpg,2020-05-26,2020-05-26 14:17:58.319999+00:00,2020-05-26 14:18:01.576999+00:00,0,67,gold_standard,{'no'},{'yes'},True,0.67
20365,1007,ISIC_0016105.jpg,2020-05-26,2020-05-26 14:18:06.938999+00:00,2020-05-26 14:18:09.037000+00:00,100,67,qa,{'no'},{'no'},True,0.67
20365,1007,ISIC_0046635.jpg,2020-05-26,2020-05-26 14:18:09.721000+00:00,2020-05-26 14:18:10.526000+00:00,100,69,gold_standard,{'no'},{'no'},True,0.69
20365,1007,ISIC_0046529.jpg,2020-05-26,2020-05-26 14:18:16.473000+00:00,2020-05-26 14:18:20.211000+00:00,100,71,gold_standard,{'no'},{'no'},True,0.71
20365,1007,ISIC_0046338.jpg,2020-05-26,2020-05-26 14:18:22.655000+00:00,2020-05-26 14:18:24.359000+00:00,100,72,gold_standard,{'yes'},{'yes'},True,0.72
20365,1007,ISIC_0047033.jpg,2020-05-26,2020-05-26 14:18:32.441000+00:00,2020-05-26 14:18:34.980000+00:00,100,72,active,{'no'},,True,0.72
20365,1007,ISIC_0046956.jpg,2020-05-26,2020-05-26 14:18:35.690000+00:00,2020-05-26 14:18:36.625999+00:00,100,74,gold_standard,{'yes'},{'yes'},True,0.74
20365,1007,ISIC_0046222.jpg,2020-05-26,2020-05-26 14:18:37.530999+00:00,2020-05-26 14:18:39.496000+00:00,100,74,active,{'no'},,True,0.74
20365,1007,ISIC_0046618.jpg,2020-05-26,2020-05-26 14:18:40.240000+00:00,2020-05-26 14:18:42.282000+00:00,100,74,qa,{'no'},{'no'},True,0.74
20365,1007,ISIC_0047008.jpg,2020-05-26,2020-05-26 14:18:48.500999+00:00,2020-05-26 14:18:56.211000+00:00,100,75,gold_standard,{'no'},{'no'},True,0.75
20365,1007,ISIC_0047003.jpg,2020-05-26,2020-05-26 14:19:07.732000+00:00,2020-05-26 14:19:10.749000+00:00,0,74,gold_standard,{'no'},{'yes'},True,0.74
